Street,City,District,State,SALE_YEAR,area,zoning,latitude,longitude,waterApplicable,waterDistance,roadApplicable,roadDistance,schoolApplicable,schoolDistance,railwayApplicable,railwayDistance,busApplicable,busDistance,price,past_prices
"100 Feet Rd, Velachery",Chennai,Chennai,Tamil Nadu,2023,0.1619,Residential,12.9791,80.2209,applicable,5.35,notApplicable,0.0,applicable,3.18,applicable,3.29,applicable,2.33,1051200.0,"[189200.0, 10473500.0, 47400.0, 76037300.0, 2009200.0]"
"East Coast Rd, Thiruvanmiyur",Chennai,Chennai,Tamil Nadu,2023,2.0758,Residential,12.9834,80.259,applicable,4.57,applicable,4.19,applicable,0.86,notApplicable,0.0,applicable,5.71,14833900.0,"[964500.0, 12154600.0, 507200.0, 352500.0, 52013100.0]"
Bypass Rd,Madurai,Madurai,Tamil Nadu,2021,1.0792,Conservation,9.924,78.135,applicable,4.24,applicable,4.79,notApplicable,0.0,applicable,2.89,applicable,4.08,823300.0,"[0, 0, 0, 0, 0]"
"Dindigul Rd, Palani",Palani,Dindigul,Tamil Nadu,2022,5.8862,Commercial,10.4508,77.5148,applicable,5.95,applicable,1.44,applicable,4.86,notApplicable,0.0,applicable,0.42,187375900.0,"[1180700.0, 2830800.0, 291000.0, 488200.0, 50925300.0]"
Rajapalayam Rd,Virudhunagar,Virudhunagar,Tamil Nadu,2025,0.3872,Industrial,9.4523,77.5533,applicable,5.79,applicable,4.83,applicable,4.72,notApplicable,0.0,applicable,4.15,1720800.0,"[657000.0, 1433100.0, 1492000.0, 32180200.0, 6552200.0]"
"100 Feet Rd, Velachery",Chennai,Chennai,Tamil Nadu,2021,5.8961,Commercial,12.9791,80.2209,applicable,3.07,applicable,2.93,applicable,5.25,applicable,5.01,notApplicable,0.0,59831600.0,"[0, 0, 0, 0, 0]"
"NH 44, Tirunelveli",Tirunelveli,Tirunelveli,Tamil Nadu,2022,0.0299,Industrial,8.7139,77.7567,applicable,1.09,applicable,2.09,applicable,3.48,notApplicable,0.0,applicable,2.52,154600.0,"[227100.0, 1768500.0, 24629000.0, 12892900.0, 551200.0]"
"Sathyamangalam Rd, Edayarpalayam",Erode,Erode,Tamil Nadu,2022,0.8418,Commercial,11.349,77.6951,notApplicable,0.0,applicable,4.52,applicable,2.61,notApplicable,0.0,applicable,2.73,6264800.0,"[25944300.0, 428400.0, 482600.0, 3404100.0, 1184000.0]"
Alagarkoil Rd,Madurai,Madurai,Tamil Nadu,2021,0.0758,Residential,9.9677,78.1653,applicable,4.09,applicable,1.48,notApplicable,0.0,applicable,4.51,applicable,1.17,375500.0,"[0, 0, 0, 0, 0]"
Gandhipuram Cross Cut,Coimbatore,Coimbatore,Tamil Nadu,2022,0.755,Industrial,11.0175,76.9725,notApplicable,0.0,applicable,4.07,applicable,0.23,notApplicable,0.0,applicable,0.76,6739000.0,"[146100.0, 30568900.0, 3386000.0, 189000.0, 1281900.0]"
Rajapalayam Rd,Virudhunagar,Virudhunagar,Tamil Nadu,2023,6.3635,Agricultural,9.4523,77.5533,applicable,2.79,notApplicable,0.0,applicable,4.66,applicable,5.34,notApplicable,0.0,7593400.0,"[473200.0, 907600.0, 9940800.0, 17000.0, 6568100.0]"
"Avinashi Rd, Peelamedu",Coimbatore,Coimbatore,Tamil Nadu,2025,2.5482,Industrial,11.0183,76.997,notApplicable,0.0,applicable,0.76,notApplicable,0.0,applicable,2.61,applicable,5.51,22339300.0,"[8301200.0, 222900.0, 5292400.0, 59415000.0, 622800.0]"
Gandhipuram Cross Cut,Coimbatore,Coimbatore,Tamil Nadu,2025,1.6268,Commercial,11.0175,76.9725,applicable,1.44,notApplicable,0.0,notApplicable,0.0,applicable,5.77,applicable,1.56,19231300.0,"[3325300.0, 34099900.0, 2136000.0, 1981200.0, 777400.0]"
"NH 44, Tirunelveli",Tirunelveli,Tirunelveli,Tamil Nadu,2023,3.9905,Agricultural,8.7139,77.7567,applicable,1.96,notApplicable,0.0,applicable,2.81,applicable,0.73,notApplicable,0.0,6035100.0,"[380900.0, 143400.0, 2666400.0, 5706900.0, 18473300.0]"
Ettayapuram Rd,Thoothukudi,Thoothukudi,Tamil Nadu,2025,0.0431,Conservation,8.813,78.1341,applicable,1.11,applicable,2.08,applicable,1.07,applicable,0.46,applicable,5.19,39200.0,"[533300.0, 731300.0, 29081400.0, 8490900.0, 1311400.0]"
Simmakkal,Madurai,Madurai,Tamil Nadu,2023,0.3629,Industrial,9.921,78.1197,applicable,1.23,notApplicable,0.0,applicable,0.85,notApplicable,0.0,applicable,4.96,2760000.0,"[1217400.0, 5297300.0, 867300.0, 637900.0, 19826500.0]"
Bypass Rd,Madurai,Madurai,Tamil Nadu,2022,1.2817,Agricultural,9.924,78.135,notApplicable,0.0,applicable,3.61,applicable,0.54,applicable,2.97,notApplicable,0.0,2198600.0,"[28520000.0, 69877900.0, 3595000.0, 12856800.0, 783100.0]"
"Trichy Rd, Singanallur",Coimbatore,Coimbatore,Tamil Nadu,2024,7.288,Industrial,10.9979,76.9994,applicable,4.42,applicable,4.93,notApplicable,0.0,applicable,2.55,notApplicable,0.0,53526500.0,"[28982900.0, 2522000.0, 76780500.0, 1959500.0, 211100.0]"
Alagarkoil Rd,Madurai,Madurai,Tamil Nadu,2024,0.1094,Conservation,9.9677,78.1653,applicable,1.46,notApplicable,0.0,applicable,0.96,notApplicable,0.0,applicable,3.35,126600.0,"[4168000.0, 802400.0, 26200.0, 533700.0, 2412900.0]"
Gandhipuram Cross Cut,Coimbatore,Coimbatore,Tamil Nadu,2021,0.0241,Industrial,11.0175,76.9725,applicable,0.81,applicable,5.28,notApplicable,0.0,applicable,0.38,applicable,1.27,198600.0,"[0, 0, 0, 0, 0]"
Alagarkoil Rd,Madurai,Madurai,Tamil Nadu,2021,0.1448,Industrial,9.9677,78.1653,applicable,3.83,applicable,4.4,notApplicable,0.0,applicable,0.41,notApplicable,0.0,973900.0,"[0, 0, 0, 0, 0]"
"East Coast Rd, Thiruvanmiyur",Chennai,Chennai,Tamil Nadu,2021,6.9999,Conservation,12.9834,80.259,applicable,0.25,applicable,0.27,applicable,2.0,notApplicable,0.0,applicable,5.7,11017500.0,"[0, 0, 0, 0, 0]"
"Avinashi Rd, Peelamedu",Coimbatore,Coimbatore,Tamil Nadu,2025,0.137,Residential,11.0183,76.997,applicable,3.63,notApplicable,0.0,applicable,1.4,applicable,1.01,applicable,4.62,845500.0,"[8301200.0, 222900.0, 5292400.0, 59415000.0, 622800.0]"
Alagarkoil Rd,Madurai,Madurai,Tamil Nadu,2022,0.0159,Residential,9.9677,78.1653,applicable,5.63,notApplicable,0.0,notApplicable,0.0,applicable,2.93,applicable,2.31,79700.0,"[58948600.0, 17453400.0, 206400.0, 90500.0, 21717900.0]"
Bypass Rd,Madurai,Madurai,Tamil Nadu,2024,0.1524,Residential,9.924,78.135,notApplicable,0.0,applicable,5.52,notApplicable,0.0,notApplicable,0.0,applicable,5.97,914200.0,"[15115400.0, 26585100.0, 2592100.0, 2977200.0, 25018100.0]"
Simmakkal,Madurai,Madurai,Tamil Nadu,2021,2.661,Commercial,9.921,78.1197,applicable,0.96,applicable,4.08,applicable,3.94,notApplicable,0.0,applicable,1.53,22497500.0,"[0, 0, 0, 0, 0]"
Simmakkal,Madurai,Madurai,Tamil Nadu,2022,7.2489,Conservation,9.921,78.1197,applicable,4.79,notApplicable,0.0,applicable,4.93,notApplicable,0.0,applicable,2.18,6716100.0,"[8893600.0, 8712000.0, 6309500.0, 226700.0, 3192500.0]"
Gandhipuram Cross Cut,Coimbatore,Coimbatore,Tamil Nadu,2025,7.2888,Conservation,11.0175,76.9725,applicable,2.28,applicable,2.19,applicable,0.72,notApplicable,0.0,notApplicable,0.0,9800600.0,"[3325300.0, 34099900.0, 2136000.0, 1981200.0, 777400.0]"
"Dindigul Rd, Palani",Palani,Dindigul,Tamil Nadu,2024,0.0108,Residential,10.4508,77.5148,applicable,4.27,applicable,4.21,notApplicable,0.0,notApplicable,0.0,notApplicable,0.0,301200.0,"[64681100.0, 241700.0, 44019300.0, 6392900.0, 43591700.0]"
"Dindigul Rd, Palani",Palani,Dindigul,Tamil Nadu,2022,0.8954,Conservation,10.4508,77.5148,applicable,5.01,applicable,5.49,applicable,0.4,notApplicable,0.0,notApplicable,0.0,1107200.0,"[1180700.0, 2830800.0, 291000.0, 488200.0, 50925300.0]"
MTP Rd,Coimbatore,Coimbatore,Tamil Nadu,2023,1.3363,Industrial,11.0616,76.9366,applicable,1.97,applicable,4.06,applicable,4.02,notApplicable,0.0,applicable,1.88,9145700.0,"[318200.0, 14909900.0, 818600.0, 16183000.0, 10593000.0]"
Simmakkal,Madurai,Madurai,Tamil Nadu,2024,1.5117,Industrial,9.921,78.1197,applicable,1.33,applicable,0.76,notApplicable,0.0,notApplicable,0.0,notApplicable,0.0,14135800.0,"[13126300.0, 3278400.0, 1299100.0, 68100.0, 1681000.0]"
"Trichy Rd, Singanallur",Coimbatore,Coimbatore,Tamil Nadu,2022,7.9354,Industrial,10.9979,76.9994,notApplicable,0.0,applicable,4.18,notApplicable,0.0,applicable,0.95,notApplicable,0.0,70562500.0,"[303400.0, 1319200.0, 1369900.0, 26184100.0, 1205300.0]"
Bypass Rd,Madurai,Madurai,Tamil Nadu,2021,5.2409,Agricultural,9.924,78.135,applicable,2.52,applicable,3.38,applicable,5.52,applicable,5.99,notApplicable,0.0,6807500.0,"[0, 0, 0, 0, 0]"
"Sathyamangalam Rd, Edayarpalayam",Erode,Erode,Tamil Nadu,2021,1.7588,Agricultural,11.349,77.6951,applicable,1.4,applicable,4.36,applicable,1.06,notApplicable,0.0,notApplicable,0.0,2701800.0,"[0, 0, 0, 0, 0]"
"100 Feet Rd, Velachery",Chennai,Chennai,Tamil Nadu,2023,1.0854,Residential,12.9791,80.2209,notApplicable,0.0,applicable,2.83,notApplicable,0.0,notApplicable,0.0,notApplicable,0.0,10525200.0,"[189200.0, 10473500.0, 47400.0, 76037300.0, 2009200.0]"
Simmakkal,Madurai,Madurai,Tamil Nadu,2023,0.1529,Agricultural,9.921,78.1197,applicable,5.53,applicable,0.3,applicable,3.75,applicable,5.01,applicable,1.53,224500.0,"[1217400.0, 5297300.0, 867300.0, 637900.0, 19826500.0]"
"Avinashi Rd, Peelamedu",Coimbatore,Coimbatore,Tamil Nadu,2022,0.3989,Residential,11.0183,76.997,notApplicable,0.0,applicable,0.83,notApplicable,0.0,notApplicable,0.0,applicable,4.92,2905900.0,"[1821200.0, 2196700.0, 12626700.0, 9188700.0, 926300.0]"
Gandhipuram Cross Cut,Coimbatore,Coimbatore,Tamil Nadu,2023,0.4326,Agricultural,11.0175,76.9725,applicable,5.28,notApplicable,0.0,notApplicable,0.0,notApplicable,0.0,applicable,2.99,870400.0,"[364800.0, 101200.0, 5022900.0, 1292200.0, 319400.0]"
"100 Feet Rd, Velachery",Chennai,Chennai,Tamil Nadu,2021,0.1838,Commercial,12.9791,80.2209,applicable,4.53,applicable,0.67,notApplicable,0.0,notApplicable,0.0,applicable,0.83,2751000.0,"[0, 0, 0, 0, 0]"
"Dindigul Rd, Palani",Palani,Dindigul,Tamil Nadu,2024,4.0628,Conservation,10.4508,77.5148,applicable,2.3,applicable,2.95,notApplicable,0.0,notApplicable,0.0,applicable,5.84,4857500.0,"[64681100.0, 241700.0, 44019300.0, 6392900.0, 43591700.0]"
Simmakkal,Madurai,Madurai,Tamil Nadu,2022,0.4185,Commercial,9.921,78.1197,applicable,1.91,applicable,1.28,applicable,3.91,notApplicable,0.0,applicable,1.38,3815200.0,"[8893600.0, 8712000.0, 6309500.0, 226700.0, 3192500.0]"
"Sathyamangalam Rd, Edayarpalayam",Erode,Erode,Tamil Nadu,2025,0.9967,Conservation,11.349,77.6951,applicable,1.12,applicable,5.92,notApplicable,0.0,applicable,2.76,notApplicable,0.0,948800.0,"[211600.0, 1723100.0, 70300.0, 8785600.0, 5728200.0]"
Bypass Rd,Madurai,Madurai,Tamil Nadu,2021,3.7954,Industrial,9.924,78.135,applicable,4.17,applicable,4.96,applicable,4.36,applicable,2.46,applicable,2.29,17840300.0,"[0, 0, 0, 0, 0]"
Alagarkoil Rd,Madurai,Madurai,Tamil Nadu,2024,0.028,Residential,9.9677,78.1653,applicable,4.87,notApplicable,0.0,applicable,0.67,notApplicable,0.0,applicable,5.55,160200.0,"[4168000.0, 802400.0, 26200.0, 533700.0, 2412900.0]"
Rajapalayam Rd,Virudhunagar,Virudhunagar,Tamil Nadu,2024,0.2734,Conservation,9.4523,77.5533,applicable,4.16,applicable,2.3,notApplicable,0.0,applicable,1.52,notApplicable,0.0,225000.0,"[114300.0, 557600.0, 15608400.0, 23139700.0, 500900.0]"
"Trichy Rd, Singanallur",Coimbatore,Coimbatore,Tamil Nadu,2024,0.033,Conservation,10.9979,76.9994,notApplicable,0.0,applicable,3.68,notApplicable,0.0,applicable,3.08,applicable,4.49,35900.0,"[28982900.0, 2522000.0, 76780500.0, 1959500.0, 211100.0]"
Alagarkoil Rd,Madurai,Madurai,Tamil Nadu,2024,2.5539,Conservation,9.9677,78.1653,applicable,0.87,applicable,3.52,notApplicable,0.0,notApplicable,0.0,notApplicable,0.0,3106300.0,"[4168000.0, 802400.0, 26200.0, 533700.0, 2412900.0]"
Rajapalayam Rd,Virudhunagar,Virudhunagar,Tamil Nadu,2022,0.8294,Commercial,9.4523,77.5533,applicable,1.28,applicable,5.25,notApplicable,0.0,applicable,2.06,applicable,3.43,5374200.0,"[2984500.0, 135500.0, 22986900.0, 3420700.0, 364500.0]"
"Sathyamangalam Rd, Edayarpalayam",Erode,Erode,Tamil Nadu,2023,0.39,Agricultural,11.349,77.6951,notApplicable,0.0,applicable,1.68,applicable,2.86,applicable,1.48,notApplicable,0.0,614000.0,"[94500.0, 455300.0, 148700.0, 335400.0, 39400.0]"
Simmakkal,Madurai,Madurai,Tamil Nadu,2024,0.3853,Commercial,9.921,78.1197,applicable,4.77,notApplicable,0.0,notApplicable,0.0,applicable,3.94,notApplicable,0.0,3740000.0,"[13126300.0, 3278400.0, 1299100.0, 68100.0, 1681000.0]"
Rajapalayam Rd,Virudhunagar,Virudhunagar,Tamil Nadu,2025,0.7475,Residential,9.4523,77.5533,notApplicable,0.0,applicable,1.35,applicable,0.26,notApplicable,0.0,applicable,1.94,4234600.0,"[657000.0, 1433100.0, 1492000.0, 32180200.0, 6552200.0]"
Gandhipuram Cross Cut,Coimbatore,Coimbatore,Tamil Nadu,2024,4.4138,Conservation,11.0175,76.9725,applicable,1.66,applicable,5.5,applicable,1.39,applicable,2.17,applicable,4.91,4387700.0,"[749700.0, 35211300.0, 14300700.0, 151900.0, 7908700.0]"
"NH 44, Tirunelveli",Tirunelveli,Tirunelveli,Tamil Nadu,2021,1.9722,Agricultural,8.7139,77.7567,applicable,1.56,notApplicable,0.0,applicable,3.43,applicable,0.71,applicable,4.59,2463300.0,"[0, 0, 0, 0, 0]"
"NH 44, Tirunelveli",Tirunelveli,Tirunelveli,Tamil Nadu,2024,0.6423,Residential,8.7139,77.7567,applicable,4.32,notApplicable,0.0,notApplicable,0.0,notApplicable,0.0,notApplicable,0.0,3565100.0,"[64300.0, 1336400.0, 731500.0, 1127400.0, 21164800.0]"
"Trichy Rd, Singanallur",Coimbatore,Coimbatore,Tamil Nadu,2021,0.3249,Residential,10.9979,76.9994,notApplicable,0.0,applicable,1.23,notApplicable,0.0,applicable,2.52,applicable,2.68,2025200.0,"[0, 0, 0, 0, 0]"
"Sathyamangalam Rd, Edayarpalayam",Erode,Erode,Tamil Nadu,2025,1.1377,Commercial,11.349,77.6951,applicable,4.92,applicable,3.42,applicable,5.77,notApplicable,0.0,applicable,3.98,7809500.0,"[211600.0, 1723100.0, 70300.0, 8785600.0, 5728200.0]"
"100 Feet Rd, Velachery",Chennai,Chennai,Tamil Nadu,2024,2.0779,Industrial,12.9791,80.2209,notApplicable,0.0,applicable,1.5,notApplicable,0.0,applicable,0.82,applicable,1.99,25653800.0,"[379000.0, 3141200.0, 326500.0, 7256100.0, 46031100.0]"
"Trichy Rd, Singanallur",Coimbatore,Coimbatore,Tamil Nadu,2022,0.1149,Commercial,10.9979,76.9994,applicable,5.71,applicable,0.76,applicable,5.62,applicable,4.71,notApplicable,0.0,1065900.0,"[303400.0, 1319200.0, 1369900.0, 26184100.0, 1205300.0]"
"Trichy Rd, Singanallur",Coimbatore,Coimbatore,Tamil Nadu,2025,0.0126,Industrial,10.9979,76.9994,applicable,2.83,notApplicable,0.0,applicable,5.64,notApplicable,0.0,applicable,2.41,97100.0,"[10468800.0, 6219300.0, 2222100.0, 21552800.0, 9695700.0]"
Bypass Rd,Madurai,Madurai,Tamil Nadu,2022,0.3544,Industrial,9.924,78.135,notApplicable,0.0,applicable,2.31,applicable,4.83,applicable,3.49,applicable,2.75,1934700.0,"[28520000.0, 69877900.0, 3595000.0, 12856800.0, 783100.0]"
"Trichy Rd, Singanallur",Coimbatore,Coimbatore,Tamil Nadu,2025,1.7664,Commercial,10.9979,76.9994,notApplicable,0.0,applicable,0.24,applicable,0.87,notApplicable,0.0,applicable,2.15,25093700.0,"[10468800.0, 6219300.0, 2222100.0, 21552800.0, 9695700.0]"
"East Coast Rd, Thiruvanmiyur",Chennai,Chennai,Tamil Nadu,2024,0.0388,Industrial,12.9834,80.259,notApplicable,0.0,applicable,3.31,applicable,3.92,applicable,3.39,applicable,4.58,302900.0,"[42756000.0, 33292000.0, 2462400.0, 71681000.0, 571300.0]"
Ettayapuram Rd,Thoothukudi,Thoothukudi,Tamil Nadu,2023,5.0057,Conservation,8.813,78.1341,notApplicable,0.0,notApplicable,0.0,notApplicable,0.0,applicable,4.24,applicable,1.33,4792300.0,"[1276400.0, 7956300.0, 631000.0, 6768800.0, 2495300.0]"
"Trichy Rd, Singanallur",Coimbatore,Coimbatore,Tamil Nadu,2024,4.3737,Commercial,10.9979,76.9994,applicable,5.26,notApplicable,0.0,notApplicable,0.0,applicable,1.73,applicable,2.14,48032300.0,"[28982900.0, 2522000.0, 76780500.0, 1959500.0, 211100.0]"
MTP Rd,Coimbatore,Coimbatore,Tamil Nadu,2024,0.0967,Industrial,11.0616,76.9366,applicable,5.46,notApplicable,0.0,notApplicable,0.0,applicable,5.21,notApplicable,0.0,798400.0,"[1762300.0, 1592900.0, 400900.0, 1550000.0, 49100500.0]"
MTP Rd,Coimbatore,Coimbatore,Tamil Nadu,2023,0.0133,Residential,11.0616,76.9366,applicable,5.3,applicable,3.92,notApplicable,0.0,notApplicable,0.0,applicable,1.7,82900.0,"[318200.0, 14909900.0, 818600.0, 16183000.0, 10593000.0]"
"Avinashi Rd, Peelamedu",Coimbatore,Coimbatore,Tamil Nadu,2023,0.0492,Industrial,11.0183,76.997,applicable,3.57,applicable,1.28,applicable,3.72,notApplicable,0.0,notApplicable,0.0,377300.0,"[927400.0, 7279800.0, 9981500.0, 14718500.0, 119400.0]"
Rajapalayam Rd,Virudhunagar,Virudhunagar,Tamil Nadu,2023,0.1466,Industrial,9.4523,77.5533,applicable,2.24,applicable,4.39,applicable,2.44,notApplicable,0.0,applicable,1.22,736700.0,"[473200.0, 907600.0, 9940800.0, 17000.0, 6568100.0]"
"Trichy Rd, Singanallur",Coimbatore,Coimbatore,Tamil Nadu,2023,0.4308,Agricultural,10.9979,76.9994,notApplicable,0.0,applicable,5.56,applicable,2.91,applicable,3.96,notApplicable,0.0,754500.0,"[55643900.0, 2814500.0, 183600.0, 6293500.0, 1819100.0]"
Ettayapuram Rd,Thoothukudi,Thoothukudi,Tamil Nadu,2024,7.7099,Industrial,8.813,78.1341,applicable,1.05,applicable,0.51,notApplicable,0.0,applicable,5.74,applicable,3.54,45179300.0,"[1337100.0, 3044100.0, 9471400.0, 285400.0, 30435200.0]"
"East Coast Rd, Thiruvanmiyur",Chennai,Chennai,Tamil Nadu,2021,0.013,Agricultural,12.9834,80.259,applicable,3.63,applicable,2.88,applicable,3.48,applicable,2.92,applicable,3.21,20900.0,"[0, 0, 0, 0, 0]"
Simmakkal,Madurai,Madurai,Tamil Nadu,2024,1.8342,Agricultural,9.921,78.1197,applicable,5.69,notApplicable,0.0,applicable,5.49,applicable,4.08,applicable,4.66,2505100.0,"[13126300.0, 3278400.0, 1299100.0, 68100.0, 1681000.0]"
Bypass Rd,Madurai,Madurai,Tamil Nadu,2022,1.1052,Agricultural,9.924,78.135,applicable,3.34,applicable,5.67,applicable,5.66,notApplicable,0.0,notApplicable,0.0,1664300.0,"[28520000.0, 69877900.0, 3595000.0, 12856800.0, 783100.0]"
"Avinashi Rd, Peelamedu",Coimbatore,Coimbatore,Tamil Nadu,2021,0.6911,Industrial,11.0183,76.997,applicable,4.26,applicable,5.8,applicable,5.47,applicable,1.64,applicable,2.59,3798600.0,"[0, 0, 0, 0, 0]"
"Dindigul Rd, Palani",Palani,Dindigul,Tamil Nadu,2025,6.551,Commercial,10.4508,77.5148,notApplicable,0.0,applicable,3.08,notApplicable,0.0,notApplicable,0.0,applicable,5.8,217169600.0,"[67869300.0, 103542900.0, 44925200.0, 3078900.0, 472800.0]"
Gandhipuram Cross Cut,Coimbatore,Coimbatore,Tamil Nadu,2024,0.2441,Commercial,11.0175,76.9725,applicable,2.11,notApplicable,0.0,applicable,1.85,applicable,4.13,notApplicable,0.0,2730000.0,"[749700.0, 35211300.0, 14300700.0, 151900.0, 7908700.0]"
"Trichy Rd, Singanallur",Coimbatore,Coimbatore,Tamil Nadu,2022,3.1349,Conservation,10.9979,76.9994,applicable,5.92,notApplicable,0.0,applicable,1.63,notApplicable,0.0,applicable,5.7,3402300.0,"[303400.0, 1319200.0, 1369900.0, 26184100.0, 1205300.0]"
MTP Rd,Coimbatore,Coimbatore,Tamil Nadu,2023,0.9005,Conservation,11.0616,76.9366,notApplicable,0.0,applicable,3.61,notApplicable,0.0,notApplicable,0.0,notApplicable,0.0,1243000.0,"[318200.0, 14909900.0, 818600.0, 16183000.0, 10593000.0]"
"100 Feet Rd, Velachery",Chennai,Chennai,Tamil Nadu,2024,0.5076,Agricultural,12.9791,80.2209,applicable,1.4,applicable,5.49,notApplicable,0.0,applicable,0.42,applicable,0.96,1470200.0,"[379000.0, 3141200.0, 326500.0, 7256100.0, 46031100.0]"
Gandhipuram Cross Cut,Coimbatore,Coimbatore,Tamil Nadu,2024,0.2266,Conservation,11.0175,76.9725,notApplicable,0.0,applicable,5.88,notApplicable,0.0,applicable,0.37,notApplicable,0.0,329400.0,"[749700.0, 35211300.0, 14300700.0, 151900.0, 7908700.0]"
Rajapalayam Rd,Virudhunagar,Virudhunagar,Tamil Nadu,2023,3.08,Agricultural,9.4523,77.5533,applicable,2.27,applicable,0.74,applicable,5.86,notApplicable,0.0,applicable,2.09,3895700.0,"[473200.0, 907600.0, 9940800.0, 17000.0, 6568100.0]"
"100 Feet Rd, Velachery",Chennai,Chennai,Tamil Nadu,2021,6.5484,Residential,12.9791,80.2209,notApplicable,0.0,applicable,4.73,notApplicable,0.0,applicable,0.39,notApplicable,0.0,60164600.0,"[0, 0, 0, 0, 0]"
"Dindigul Rd, Palani",Palani,Dindigul,Tamil Nadu,2023,5.0972,Commercial,10.4508,77.5148,notApplicable,0.0,applicable,5.66,applicable,1.07,applicable,5.02,notApplicable,0.0,164865800.0,"[13568500.0, 106400.0, 7646100.0, 897600.0, 999400.0]"
"Avinashi Rd, Peelamedu",Coimbatore,Coimbatore,Tamil Nadu,2021,0.1796,Conservation,11.0183,76.997,notApplicable,0.0,notApplicable,0.0,applicable,2.26,applicable,5.75,applicable,3.13,183000.0,"[0, 0, 0, 0, 0]"
Alagarkoil Rd,Madurai,Madurai,Tamil Nadu,2024,0.106,Commercial,9.9677,78.1653,applicable,3.54,applicable,4.42,applicable,5.14,applicable,3.8,applicable,5.1,685600.0,"[4168000.0, 802400.0, 26200.0, 533700.0, 2412900.0]"
"NH 44, Tirunelveli",Tirunelveli,Tirunelveli,Tamil Nadu,2024,0.5223,Industrial,8.7139,77.7567,applicable,4.48,applicable,3.16,notApplicable,0.0,notApplicable,0.0,notApplicable,0.0,3076400.0,"[64300.0, 1336400.0, 731500.0, 1127400.0, 21164800.0]"
"Trichy Rd, Singanallur",Coimbatore,Coimbatore,Tamil Nadu,2024,2.1606,Commercial,10.9979,76.9994,applicable,5.62,applicable,2.34,notApplicable,0.0,notApplicable,0.0,notApplicable,0.0,25525200.0,"[28982900.0, 2522000.0, 76780500.0, 1959500.0, 211100.0]"
"NH 44, Tirunelveli",Tirunelveli,Tirunelveli,Tamil Nadu,2021,1.4961,Agricultural,8.7139,77.7567,applicable,2.36,applicable,5.27,applicable,2.35,applicable,5.3,applicable,0.88,1621500.0,"[0, 0, 0, 0, 0]"
"Sathyamangalam Rd, Edayarpalayam",Erode,Erode,Tamil Nadu,2023,0.1131,Residential,11.349,77.6951,applicable,5.9,applicable,3.38,applicable,2.0,applicable,4.19,applicable,2.61,404400.0,"[94500.0, 455300.0, 148700.0, 335400.0, 39400.0]"
MTP Rd,Coimbatore,Coimbatore,Tamil Nadu,2024,6.7286,Agricultural,11.0616,76.9366,applicable,1.18,applicable,2.81,applicable,2.79,applicable,3.82,applicable,4.79,10255300.0,"[1762300.0, 1592900.0, 400900.0, 1550000.0, 49100500.0]"
"East Coast Rd, Thiruvanmiyur",Chennai,Chennai,Tamil Nadu,2022,0.0787,Residential,12.9834,80.259,notApplicable,0.0,notApplicable,0.0,notApplicable,0.0,notApplicable,0.0,applicable,0.8,832000.0,"[16947000.0, 7612200.0, 17031200.0, 904700.0, 15150000.0]"
Gandhipuram Cross Cut,Coimbatore,Coimbatore,Tamil Nadu,2021,1.0046,Agricultural,11.0175,76.9725,applicable,4.85,applicable,5.76,applicable,2.66,notApplicable,0.0,notApplicable,0.0,1699100.0,"[0, 0, 0, 0, 0]"
Gandhipuram Cross Cut,Coimbatore,Coimbatore,Tamil Nadu,2022,6.1961,Residential,11.0175,76.9725,applicable,1.95,applicable,4.86,notApplicable,0.0,notApplicable,0.0,notApplicable,0.0,42230800.0,"[146100.0, 30568900.0, 3386000.0, 189000.0, 1281900.0]"
"Dindigul Rd, Palani",Palani,Dindigul,Tamil Nadu,2024,0.8014,Conservation,10.4508,77.5148,notApplicable,0.0,applicable,4.37,applicable,2.85,notApplicable,0.0,applicable,1.54,984200.0,"[64681100.0, 241700.0, 44019300.0, 6392900.0, 43591700.0]"
Bypass Rd,Madurai,Madurai,Tamil Nadu,2025,0.1054,Agricultural,9.924,78.135,applicable,3.95,notApplicable,0.0,notApplicable,0.0,notApplicable,0.0,applicable,0.34,219000.0,"[429900.0, 2455500.0, 261600.0, 10850700.0, 9447900.0]"
Alagarkoil Rd,Madurai,Madurai,Tamil Nadu,2025,0.1774,Commercial,9.9677,78.1653,applicable,4.13,applicable,1.58,applicable,1.46,notApplicable,0.0,applicable,3.51,1601300.0,"[4184000.0, 91200.0, 633300.0, 5907800.0, 1041800.0]"
Rajapalayam Rd,Virudhunagar,Virudhunagar,Tamil Nadu,2022,5.2601,Agricultural,9.4523,77.5533,applicable,1.43,notApplicable,0.0,notApplicable,0.0,applicable,1.92,applicable,5.73,6958800.0,"[2984500.0, 135500.0, 22986900.0, 3420700.0, 364500.0]"
"East Coast Rd, Thiruvanmiyur",Chennai,Chennai,Tamil Nadu,2024,0.237,Industrial,12.9834,80.259,notApplicable,0.0,applicable,1.28,applicable,4.64,notApplicable,0.0,applicable,2.72,2452200.0,"[42756000.0, 33292000.0, 2462400.0, 71681000.0, 571300.0]"
"100 Feet Rd, Velachery",Chennai,Chennai,Tamil Nadu,2023,0.1605,Industrial,12.9791,80.2209,notApplicable,0.0,applicable,3.98,applicable,3.21,applicable,4.16,applicable,3.39,1247800.0,"[189200.0, 10473500.0, 47400.0, 76037300.0, 2009200.0]"
